document_id,text,meta,created_at,updated_at,annotations_approved_by_id,project_id
285,"This appeal concerns the revocation of appellant's release on bail by the Superior Court on October 24, 1975.",{},2020-05-20 21:12:08.737797+00,2020-05-20 21:12:08.737829+00,,12
286,"Unfortunately, there was some confusion at the October 25, 1975 hearing because it was only halfway through the proceedings that the Court was made to realize that the appellant had not been formally charged with the commission of another offense, i.e. by indictment or information, as required by the Code.",{},2020-05-20 21:12:08.739799+00,2020-05-20 21:12:08.739817+00,,12
287,"Although the Government tried to argue that the Complaint filed against the accused was sufficient for the Superior Court to have revoked his bail, Section 1.17 of the Guam Criminal Procedure Code clearly states that an information may not be filed until there has been a preliminary examination and an order holding defendant to answer under Section 45.80.",{},2020-05-20 21:12:08.741328+00,2020-05-20 21:12:08.741351+00,,12
288,"No indictment or information has been filed against the appellant, and there is nothing to show that any condition of release has been willfully violated by the defendant.",{},2020-05-20 21:12:08.74282+00,2020-05-20 21:12:08.742837+00,,12
289,"While the Superior Court might have had the power to automatically revoke the defendant's release on bail if the above conditions had been satisfied, the record makes it clear that the Superior Court based its revocation on the mere fact that a complaint had been filed.",{},2020-05-20 21:12:08.744265+00,2020-05-20 21:12:08.744282+00,,12
290,"No where in the Guam Criminal Procedure Code does the mere filing of a complaint empower the court to take such action, and the Superior Court must be charged with uniformly applying all section of the Guam Criminal Procedure Code.",{},2020-05-20 21:12:08.745739+00,2020-05-20 21:12:08.745755+00,,12
291,"Also, it seems that appellant's counsel was not given adequate notice and time to prepare for a hearing on the revocation of his client's bail.",{},2020-05-20 21:12:08.747267+00,2020-05-20 21:12:08.747285+00,,12
292,"Certainly, minimum standards of due process require at least a few hours notice so that counsel may intelligently protect his client's rights.",{},2020-05-20 21:12:08.748768+00,2020-05-20 21:12:08.748785+00,,12
293,"Here none of the conditions enumerated in Sections 40.65, 40.70 and 40.75 of the Guam Criminal Procedure Code were present; thus the better course would have been for the Government to prepare an Order to Show Cause with timely notice of hearing, so that a complete and effective record could be prepared.",{},2020-05-20 21:12:08.750267+00,2020-05-20 21:12:08.750283+00,,12
294,The case number of the subsequent complaint filed against the defendant was not even made part of the record during the Superior Court hearing.,{},2020-05-20 21:12:08.751742+00,2020-05-20 21:12:08.751759+00,,12
295,"The October 24, 1975 revocation of defendant’s release on bail is reversed, and the defendant is ordered released on the same conditions as previously existed, with the additional condition that he stay at his parents' house and observe a curfew between the hours of 9:00 p.m. and 6:00 a.m.",{},2020-05-20 21:12:08.753175+00,2020-05-20 21:12:08.753191+00,,12
296,"Dated this 26th day of October, 1979.",{},2020-05-20 21:12:08.754617+00,2020-05-20 21:12:08.754633+00,,12
297,Footnote:,{},2020-05-20 21:12:08.756024+00,2020-05-20 21:12:08.75604+00,,12
298,"In a July 19, 1979 Opinion, the District Court determined that a three-judge panel is not required to hear appeals relating to bail hearings.",{},2020-05-20 21:12:08.757629+00,2020-05-20 21:12:08.757646+00,,12
299,People v. Francisco S. Palacios and Valerie M. Palacios (D.C. Criminal Case Nos.,{},2020-05-20 21:12:08.759086+00,2020-05-20 21:12:08.75911+00,,12
300,79-0043A and 79-0044A).,{},2020-05-20 21:12:08.76052+00,2020-05-20 21:12:08.760536+00,,12
301,Appellant was charged with the misdemeanor offense of presenting an obscene performance by parting her vulva with her hands while lying down on stage in violation of §28.50 of the Guam Criminal and Correctional Code [9 GCA].,{},2020-05-20 21:12:08.761956+00,2020-05-20 21:12:08.761973+00,,12
302,Section 28.50 of the Code provides in relevant part:,{},2020-05-20 21:12:08.763415+00,2020-05-20 21:12:08.763432+00,,12
303,The following facts were adduced at trial:,{},2020-05-20 21:12:08.764869+00,2020-05-20 21:12:08.764885+00,,12
304,"On or about February 10, 1978, at approximately 1:05 p.m., a Mr. Duran of the Department of Public Safety Vice Division had gone with an Officer Sabían to the Sandy You Club in Tamuning.",{},2020-05-20 21:12:08.766341+00,2020-05-20 21:12:08.766357+00,,12
