id,prob,manual,created_at,updated_at,document_id,label_id,user_id
65,0.0,false,2020-05-20 21:25:29.278469+00,2020-05-20 21:25:29.27849+00,2794,25,1
66,0.0,false,2020-05-20 21:25:46.330404+00,2020-05-20 21:25:46.330427+00,2795,25,1
70,0.0,false,2020-05-20 22:53:31.592002+00,2020-05-20 22:53:31.592052+00,2796,21,1
71,0.0,false,2020-05-20 22:53:37.450457+00,2020-05-20 22:53:37.4505+00,2797,26,1
90,0.0,false,2020-05-21 18:31:38.090862+00,2020-05-21 18:31:38.0909+00,1520,108,1
91,0.0,false,2020-05-21 18:39:21.98922+00,2020-05-21 18:39:21.989247+00,1521,108,1
92,0.0,false,2020-05-21 18:39:49.54025+00,2020-05-21 18:39:49.540316+00,1522,104,1
93,0.0,false,2020-05-21 18:40:03.239522+00,2020-05-21 18:40:03.239565+00,1523,103,1
94,0.0,false,2020-05-21 18:40:22.081495+00,2020-05-21 18:40:22.081536+00,1524,108,1
95,0.0,false,2020-05-21 18:40:30.04715+00,2020-05-21 18:40:30.047197+00,1525,109,1
96,0.0,false,2020-05-21 18:40:32.143724+00,2020-05-21 18:40:32.143761+00,1526,109,1
97,0.0,false,2020-05-21 18:40:36.162338+00,2020-05-21 18:40:36.162382+00,1527,109,1
98,0.0,false,2020-05-21 18:40:38.730963+00,2020-05-21 18:40:38.731008+00,1528,109,1
99,0.0,false,2020-05-21 18:40:47.748891+00,2020-05-21 18:40:47.748936+00,1529,107,1
100,0.0,false,2020-05-21 18:41:07.000914+00,2020-05-21 18:41:07.000951+00,1530,106,1
101,0.0,false,2020-05-21 18:41:12.175049+00,2020-05-21 18:41:12.175094+00,1531,106,1
102,0.0,false,2020-05-21 18:41:25.221116+00,2020-05-21 18:41:25.221156+00,1532,104,1
103,0.0,false,2020-05-21 18:41:28.321683+00,2020-05-21 18:41:28.321946+00,1533,108,1
104,0.0,false,2020-05-21 18:41:41.610106+00,2020-05-21 18:41:41.610209+00,1534,106,1
105,0.0,false,2020-05-21 18:41:50.042548+00,2020-05-21 18:41:50.042598+00,1535,105,1
106,0.0,false,2020-05-21 18:41:52.780676+00,2020-05-21 18:41:52.780719+00,1536,109,1
107,0.0,false,2020-05-21 18:41:55.222564+00,2020-05-21 18:41:55.222611+00,1537,109,1
108,0.0,false,2020-05-21 18:41:57.319572+00,2020-05-21 18:41:57.3196+00,1538,109,1
109,0.0,false,2020-05-21 18:49:09.123633+00,2020-05-21 18:49:09.123679+00,1539,106,1
110,0.0,false,2020-05-21 18:49:12.794416+00,2020-05-21 18:49:12.794462+00,1540,104,1
111,0.0,false,2020-05-21 18:50:38.077857+00,2020-05-21 18:50:38.077902+00,1541,109,1
112,0.0,false,2020-05-21 18:50:51.881403+00,2020-05-21 18:50:51.881448+00,1542,109,1
113,0.0,false,2020-05-21 18:50:54.290893+00,2020-05-21 18:50:54.290939+00,1543,109,1
114,0.0,false,2020-05-21 18:51:24.275432+00,2020-05-21 18:51:24.275478+00,1544,109,1
115,0.0,false,2020-05-21 18:51:27.083806+00,2020-05-21 18:51:27.083844+00,1545,109,1
116,0.0,false,2020-05-21 18:51:29.968155+00,2020-05-21 18:51:29.968205+00,1546,109,1
117,0.0,false,2020-05-21 18:51:32.390165+00,2020-05-21 18:51:32.39021+00,1547,109,1
118,0.0,false,2020-05-21 18:51:40.07323+00,2020-05-21 18:51:40.073277+00,1548,105,1
119,0.0,false,2020-05-21 18:53:45.435833+00,2020-05-21 18:53:45.435879+00,1549,105,1
120,0.0,false,2020-05-21 18:53:51.324256+00,2020-05-21 18:53:51.324341+00,1550,105,1
121,0.0,false,2020-05-21 18:53:58.284357+00,2020-05-21 18:53:58.284402+00,1551,109,1
122,0.0,false,2020-05-21 18:54:00.386675+00,2020-05-21 18:54:00.386722+00,1552,109,1
123,0.0,false,2020-05-21 18:54:49.76587+00,2020-05-21 18:54:49.76589+00,1553,104,1
