text,label_id,label_text
The case number of the subsequent complaint filed against the defendant was not even made part of the record during the Superior Court hearing.,0,Argument
"Dated this 26th day of October, 1979.",0,Argument
The following facts were adduced at trial:,0,Argument
"On or about February 10, 1978, at approximately 1:05 p.m., a Mr. Duran of the Department of Public Safety Vice Division had gone with an Officer Sabían to the Sandy You Club in Tamuning.",0,Argument
"After entering the club, Duran and Sabían sat at a table which was located approximately ten to fifteen feet in",0,Argument
Duran attempted to photograph appellant's performance.,0,Argument
"He was prevented from doing so by one of the club's waitresses, who informed him that taking pictures in the club was not permitted.",0,Argument
The sole issue before us is whether the affidavit and the testimony given to the judge issuing the search warrant were legally sufficient.,0,Argument
"The Government's witness, Mr. Duran, admitted he did not see appellant's entire performance since he entered the Sandy You club after appellant had begun her dance.",0,Argument
"From this admittedly partially-observed performance, appellant argues that it was impossible for Duran to describe appellant's entire performance to the jury and therefore, it was impossible for the jury to determine whether the performance, as a whole, was in fact obscene.",0,Argument
The controlling community is the entire territory of Guam.,0,Argument
"The above-entitled action is a special proceedings brought before the Court on behalf of the minor child, Brenda, natural daughter of the respondent, Barbara Finona.",0,Argument
"Brenda, the minor daughter of the respondent, was represented by Alberto J.C.",0,Argument
"The petition came before this Court for hearing on February 14, 1980.",0,Argument
"As noted above, after an evidentiary hearing the trial court found as a fact that the previous buy at Rico's house 36 hours before seeking a warrant was not made under such strict supervision of the police that it provided probable cause for",0,Argument
"Brenda was born on September 7, 1979.",0,Argument
The petitioners in Marks were indicted for conduct occurring prior to the decision in Miller.,0,Argument
"Appellant first makes a broad attack on Guam Criminal and Correctional Code §28.45 and §28.50, alleging that they are unconstitutionally vague and overbroad.",0,Argument
"After the child, Brenda, was born her habitual running did not cease.",0,Argument
"On September 20, 1979 based upon an application by the",0,Argument
"Department of Public Health and Social Services, a temporary removal order was made and Brenda was placed in foster care.",0,Argument
"The natural father is, however, unknown.",0,Argument
"Prior to the birth of Brenda, she (Barbara) was constantly involved in runaway proceedings and associated with stealing and burglary charges.",0,Argument
"The natural mother, Barbara, is a minor who is presently in the Department of Youth Affairs dormitory.",0,Argument
