text,label_id,label_text
"Officer Hutson testified, in part:",7,7
"On the day of the killing, Blevins came to the hotel early in the afternoon and was so intoxicated that he",7,7
When they kicked on the door of the room oceupiéd,7,7
"Dr. Jachimczyck, Medical Examiner for Harris County, testified that he performed an autopsy upon the body of Ruby Bickmore and, in his opinion, the cause of death was",7,7
The jury by their verdict resolved the disputed issues against,7,7
"In the petition, relator alleges that he is being illegally restrained of his liberty under a judgment of conviction entered on March 6, 1961, in Cause No. 8825, styled the State of Texas vs.",7,7
"Gilberto Sepulveda, wherein he was convicted, upon a plea of guilty, of the offense of felony theft and assessed punishment at confinement in the penitentiary for three years.",7,7
The jury resolved the disputed issue of intoxication against,7,7
Appellant testified that prior to the accident he had been to a New,7,7
"Officer Johnston testified that after he entered the house, he was met in the hall by the appellant; that he asked appellant",7,7
"“All male persons who habitually associate with prostitutes, or habitually loiter in or around houses of prostitution, or who,",7,7
"Through a glass window in the door of the back room, she observed the appellant return to the front of the store where she “got a good look at him” as he hesitated for a brief time, walked to the center of the",7,7
"There was no evidence showing or tending to show that appellant was not guilty of the offense charged, as was the case in Burks v.",7,7
"Appellant, who was sitting under the steering wheel, then proceeded to drive the automobile from the",7,7
In submitting the issue of appellant’s guilt to the jury the court instructed as follows:,7,7
In order to constitute a threat under Arts.,7,7
"It is further contended, that in the absence of a showing that the statement was not a part of the res gestae, no error is shown under the rule followed by this Court in Garland v.",7,7
"In re Grand Jury Investigation, 32 F.R.D.",7,7
"Superior Court, 566 P. 2d 327 (1977), the court held that:",7,7
"195, 355 S.W. 2d 189, where there was evidence that the jury considered the witness’s statement that had been withdrawn by the court.",7,7
"House Bill 892, Acts of the 57th Legislature, Regular Session, Chapter 262, page 559 (Article 666-15 (e), V.A.P.C.",7,7
"534, 294 S.W. 2d 400, we said: “The rule applied in the Jonischkies case was that the complaint must state facts which, if true, amount to a violation of the law; otherwise it is void.”",7,7
"At.the .trial, appellant testified as a witness in his own behalf",7,7
"State, 35 S.W. 973, a murder conviction, the punishment, a life sentence in the penitentiary, it was held that there was no abuse of discretion to discharge the jury because they could not agree after they were together 21 hours, including a night and time for meals, without defendant’s consent; and therefore a plea of former jeopardy set up in the second trial was properly stricken out.",7,7
"State, 320 S.W. 2d 139, holds “the exercise of discretion is measured by the time the jury have been kept together, considered in the light of the nature of the case and the evidence.”",7,7
"120, 303 S.W. 2d 412, and cases there cited, as authority for making admissible in the trial of a criminal case growing out of an automobile accident evidence of resulting injuries.",7,7
Complaint is made by appellant to the court’s charge because it did not instruct the jury on the law of circumstantial evidence.,7,7
"Art. 414, V.A.C.C.P., prescribes the requisites of an information and in subdivision 3 provides “That it appear to have been presented by the proper officer.”",7,7
which provides that the failure of the defendant to testify shall not be alluded to or commented upon by counsel in the cause.,7,7
"This has not been the rule in Texas since 1925 because in that year the Legislature enacted Article 727a, V.A.C.C.P., and made it clear that the",7,7
In the recent case of Bates v.,7,7
"414, 321 S.W. 2d 76, a statement made to the arresting officer, under similar circumstances, was held not to be res gestae and its admission in evidence constituted reversible error.",7,7
The opinion reversing the conviction is in conflict with Garland v.,7,7
§21502.,7,7
"IT IS HEREBY ORDERED, ADJUDGED AND DECREED, that Guam P.L.",7,7
"The earliest, and the leading, case on this question is Allen v.",7,7
Another driving while intoxicated case is Atkinson v.,7,7
1102 (1979).,7,7
And as P.L.,7,7
L.Rev.,7,7
seq. of the Government Code of Guam.),7,7
Van de Brug v. R. Paramaguru et al.,7,7
"For reasons set forth in the order in the cited case,",7,7
SO ORDERED.,7,7
"See, e.g. Robinson v.",7,7
"State of Alaska, 489 P.2d 1271 (1971), United States v. Trenary 473 F.2d 680 (1973).",7,7
"United States v. Perkins, 383 F.Supp.",7,7
922 (1974).,7,7
Grand Juries §43 (1943).,7,7
"175 (1963), cert.",7,7
den.,7,7
25 (1963).,7,7
McMahon v.,7,7
In Wilkey v.,7,7
"""Section 50.38.",7,7
